SpeciesNumb,Species,Coral ID,Treatment,Extract.Weight.g,FID,ExtractID
1,Pocillopora damicornis,164,Ambient,0.0003,20150213_BM01,1
1,Pocillopora damicornis,132,Ambient,0.0006,20150206_BM02,2
1,Pocillopora damicornis,174,Ambient,0.0003,20150123_BM03,3
1,Pocillopora damicornis,175,Ambient,0.0001,20150116_BM04,4
1,Pocillopora damicornis,158,Ambient,0.0004,20150206_BM05,5
1,Pocillopora damicornis,138,Ambient,0.0004,20150206_BM06,6
1,Pocillopora damicornis,133,Ambient,0.0002,20150116_BM07,7
1,Pocillopora damicornis,166,Ambient,0.0011,20150123_BM08,8
1,Pocillopora damicornis,152,Ambient,0.0008,20150130_BM09,9
1,Pocillopora damicornis,157,Ambient,0.0004,20150213_BM10,10
1,Pocillopora damicornis,154,Ambient,0.0003,20150123_BM11,11
1,Pocillopora damicornis,127,Ambient,0.0009,20150130_BM12,12
1,Pocillopora damicornis,159,Ambient,0.0008,20150213_BM13,13
1,Pocillopora damicornis,163,Ambient,0.0006,20150206_BM14,14
1,Pocillopora damicornis,128,Ambient,0.0001,20150130_BM15,15
1,Pocillopora damicornis,161,Ambient,0.0004,20150130_BM16,16
1,Pocillopora damicornis,165,Ambient,0.0006,20150130_BM17,17
1,Pocillopora damicornis,173,Ambient,0.0003,20150213_BM18,18
1,Pocillopora damicornis,123,Ambient,0.0004,20150123_BM19,19
1,Pocillopora damicornis,146,Ambient,0.0007,20150213_BM20,20
2,Montipora capitata,72,Ambient,0.001,20150130_BM21,21
2,Montipora capitata,90,Ambient,0.0006,20150130_BM22,22
2,Montipora capitata,88,Ambient,0.0008,20150206_BM23,23
2,Montipora capitata,114,Ambient,0.0006,20150206_BM24,24
2,Montipora capitata,99,Ambient,0.0005,20150213_BM25,25
2,Montipora capitata,80,Ambient,0.0007,20150206_BM26,26
2,Montipora capitata,68,Ambient,0.0004,20150116_BM27,27
2,Montipora capitata,76,Ambient,0.0012,20150123_BM28,28
2,Montipora capitata,102,Ambient,0.0004,20150206_BM29,29
2,Montipora capitata,94,Ambient,0.0004,20150130_BM30,30
2,Montipora capitata,117,Ambient,0.0011,20150123_BM31,31
2,Montipora capitata,106,Ambient,0.0021,20150123_BM32,32
2,Montipora capitata,120,Ambient,0.0007,20150116_BM33,33
2,Montipora capitata,97,Ambient,0.0013,20150123_BM34,34
2,Montipora capitata,100,Ambient,0.0008,20150130_BM35,35
2,Montipora capitata,107,Ambient,0.001,20150130_BM36,36
2,Montipora capitata,110,Ambient,0.001,20150206_BM37,37
2,Montipora capitata,62,Ambient,0.0008,20150123_BM38,38
2,Montipora capitata,86,Ambient,0.0011,20150123_BM39,39
2,Montipora capitata,79,Ambient,0.0011,20150116_BM40,40
1,Pocillopora damicornis,145,High,0.0002,20150206_BM41,41
1,Pocillopora damicornis,151,High,0.0001,20150116_BM42,42
1,Pocillopora damicornis,147,High,0.0006,20150130_BM43,43
1,Pocillopora damicornis,155,High,0.0003,20150206_BM44,44
1,Pocillopora damicornis,131,High,0.0004,20150213_BM45,45
1,Pocillopora damicornis,141,High,0.0007,20150206_BM46,46
1,Pocillopora damicornis,125,High,0.0004,20150123_BM47,47
1,Pocillopora damicornis,121,High,0.0003,20150116_BM48,48
1,Pocillopora damicornis,153,High,0.0005,20150130_BM49,49
1,Pocillopora damicornis,124,High,0.0008,20150123_BM50,50
1,Pocillopora damicornis,176,High,0.0002,20150130_BM51,51
1,Pocillopora damicornis,134,High,0.0005,20150206_BM52,52
1,Pocillopora damicornis,122,High,0.0003,20150130_BM53,53
1,Pocillopora damicornis,135,High,0.0004,20150213_BM54,54
1,Pocillopora damicornis,136,High,0.0007,20150123_BM55,55
1,Pocillopora damicornis,129,High,0.0002,20150213_BM56,56
1,Pocillopora damicornis,168,High,0.0007,20150123_BM57,57
1,Pocillopora damicornis,149,High,0.0005,20150116_BM58,58
1,Pocillopora damicornis,178,High,0.0009,20150130_BM59,59
1,Pocillopora damicornis,162,High,0.0006,20150130_BM60,60
2,Montipora capitata,105,High,0.0013,20150206_BM61,61
2,Montipora capitata,63,High,0.0004,20150213_BM62,62
2,Montipora capitata,70,High,0.0016,20150130_BM63,63
2,Montipora capitata,82,High,0.0014,20150123_BM64,64
2,Montipora capitata,69,High,0.0012,20150123_BM65,65
2,Montipora capitata,71,High,0.0012,20150130_BM66,66
2,Montipora capitata,85,High,0.0011,20150123_BM67,67
2,Montipora capitata,115,High,0.0015,20150123_BM68,68
2,Montipora capitata,104,High,0.0006,20150206_BM69,69
2,Montipora capitata,64,High,0.0011,20150206_BM70,70
2,Montipora capitata,83,High,0.0015,20150123_BM71,71
2,Montipora capitata,108,High,0.0014,20150123_BM72,72
2,Montipora capitata,111,High,0.0012,20150116_BM73,73
2,Montipora capitata,67,High,0.0006,20150206_BM74,74
2,Montipora capitata,118,High,0.001,20150130_BM75,75
2,Montipora capitata,119,High,0.001,20150116_BM76,76
2,Montipora capitata,98,High,0.0008,20150213_BM77,77
2,Montipora capitata,61,High,0.0011,20150206_BM78,78
2,Montipora capitata,95,High,0.0012,20150130_BM79,79
