,Metabolite.Bin,OPLS-DA Loading,Percent.Change,ChenomxID,Functional group,Count,,,count,%
1,X0.860424,-0.010049953,-210.6465099,Unk,Unk,1,,unique,6,8.5
2,X0.900416,-0.023460543,-179.4151988,Unk,Unk,1,,ID,9,12.7
3,X0.940407,-0.01141463,-154.2567036,Unk,Unk,1,,UNK,62,87.3
4,X0.980399,-0.004319094,-139.7328507,Unk,Unk,1,,Total,71,
5,X1.26034,-0.012522246,-249.0027779,"Azelate, Caprate, Caprylate, Sebacate, Suberate","Fatty acid, Dicarboxylic Acid",1,,,,
6,X1.30033,-0.032279513,-211.1752694,Unk,Unk,1,,,,
7,X1.34032,-0.034877535,-198.4930255,Unk,Unk,1,,,,
8,X1.38031,-0.01932662,-202.4552197,Unk,Unk,1,,,,
9,X1.4203,-0.033056932,-193.9738755,Unk,Unk,1,,,,
10,X1.4603,-0.025997651,-206.4902746,Unk,Unk,1,,,,
11,X1.54028,-0.016842954,-199.5690735,"Azelate, Caprate, Caprylate, Sebacate, Suberate","Fatty acid, Dicarboxylic Acid",1,,,,
12,X1.58027,-0.026251698,-187.1479326,Unk,Unk,1,,,,
13,X1.62026,-0.008025243,-170.106621,Unk,Unk,1,,,,
14,X1.86021,-0.001065973,-211.6141968,Unk,Unk,1,,,,
15,X1.94019,-0.011575149,-194.6351734,Acetate,carboxylic acids,1,,,,
16,X1.98018,-0.000940175,75.3018498,Unk,Unk,1,,,,
17,X2.06017,-0.01415588,-189.5654046,Glutamate,amino acid,1,,,,
18,X2.10016,-0.02605114,-178.6570958,Glutamate,amino acid,1,,,,
19,X2.14015,-0.008610241,-202.2302632,Unk,Unk,1,,,,
20,X2.18014,-0.00842546,-182.7284028,Unk,Unk,1,,,,
21,X2.22013,-0.008164088,-192.3174259,Unk,Unk,1,,,,
22,X2.30012,-0.007715867,-175.641708,Unk,Unk,1,,,,
23,X2.34011,-0.025244263,-177.6151588,Unk,Unk,1,,,,
24,X2.3801,-0.016608666,-166.5361066,Unk,Unk,1,,,,
25,X2.42009,-0.010475742,-150.0616697,Unk,Unk,1,,,,
26,X2.50007,-0.015325936,-306.6706815,Unk,Unk,1,,,,
27,X3.13994,-0.011251325,-170.7243619,Unk,Unk,1,,,,
28,X3.2999,-0.103947426,-170.6368866,O-Phosphoethanolmine,phosphomonoester metabolite of the phospholipid metabolism,1,,,,
29,X3.37988,-0.014370979,-186.9160785,Unk,Unk,1,,,,
30,X3.45987,-0.006968175,-211.9393563,Unk,Unk,1,,,,
31,X3.57984,-0.007990382,-191.7786177,Glycine,amino acid,1,,,,
32,X3.65982,-0.009994533,-185.6348881,Unk,Unk,1,,,,
33,X3.97976,-0.006152071,-510.787023,Unk,Unk,1,,,,
34,X4.01975,-0.021819236,-198.3435168,O-Phosphoethanolmine,phosphomonoester metabolite of the phospholipid metabolism,1,,,,
35,X4.05974,-0.009697573,-217.5515797,Unk,Unk,1,,,,
36,X4.09973,-0.004593528,-461.0977843,Unk,Unk,1,,,,
37,X4.13972,-0.006368601,-160.7706452,Unk,Unk,1,,,,
38,X4.2597,-0.002031235,-270.7135541,Unk,Unk,1,,,,
39,X4.29969,-0.005210222,-373.6521432,Unk,Unk,1,,,,
40,X4.33968,-0.011465085,-198.4477685,Unk,Unk,1,,,,
41,X4.37967,-0.003571937,-243.7512782,Unk,Unk,1,,,,
42,X4.45965,-0.004203562,-186.2864247,Unk,Unk,1,,,,
43,X4.57963,-0.000824454,-260.4384456,Unk,Unk,1,,,,
44,X4.6996,-0.001653304,-179.824593,Unk,Unk,1,,,,
45,X4.97954,-0.002939517,-238.0675585,Unk,Unk,1,,,,
46,X5.01953,-0.009617954,-182.3765014,Unk,Unk,1,,,,
47,X5.05952,-0.008650694,-177.8634784,Unk,Unk,1,,,,
48,X5.09952,-0.011266524,-180.6887061,Unk,Unk,1,,,,
49,X5.13951,-0.001411282,-262.4341604,Unk,Unk,1,,,,
50,X5.6194,-0.001376216,-212.841062,Unk,Unk,1,,,,
51,X5.73938,-0.001254616,-270.2967017,Unk,Unk,1,,,,
52,X5.89934,-0.004117602,-161.0601976,Unk,Unk,1,,,,
53,X5.93934,-0.010372845,-186.9415176,Unk,Unk,1,,,,
54,X5.97933,-0.006079827,-172.403957,Unk,Unk,1,,,,
55,X6.21928,-0.000611368,-177.2727273,Unk,Unk,1,,,,
56,X6.29926,-0.001436683,-199.8771677,Unk,Unk,1,,,,
57,X6.37924,-0.000953662,-231.2583705,Unk,Unk,1,,,,
58,X6.5792,-0.001157474,-174.3907593,Unk,Unk,1,,,,
59,X6.73916,-0.001333054,-178.3944741,Unk,Unk,1,,,,
60,X6.85914,-0.001268608,-174.4640896,Unk,Unk,1,,,,
61,X7.33904,-0.001939223,-169.4052172,Unk,Unk,1,,,,
62,X7.41902,-0.001019709,-223.848022,Unk,Unk,1,,,,
63,X7.85892,-0.00120045,-171.3951841,Unk,Unk,1,,,,
64,X8.13886,-0.001126856,-195.6155525,Unk,Unk,1,,,,
65,X8.61876,-0.001200169,-212.3712675,Formate,carboxylic acid,1,,,,
66,X8.73874,-0.001454443,-118.4066411,Unk,Unk,1,,,,
67,X8.93869,-0.000705974,-319.9992493,Unk,Unk,1,,,,
68,X9.21863,-0.001160869,-168.0208275,Unk,Unk,1,,,,
69,X9.33861,-0.000979048,-154.5029023,Unk,Unk,1,,,,
70,X9.8185,-0.001104013,-170.4391307,Unk,Unk,1,,,,
71,X9.93848,-0.001151859,-176.4345879,Unk,Unk,1,,,,
