ppm,BM_1_Pdamicornis_Ambient
1.9,Acetate
2.73,Unk
2.91,"N,N-Dimethylglycine"
3.11,Malonate
3.26,Betaine
3.34,Methanol
3.4,Proline
3.4,Taurine
3.4,"5,6-Dihydrouracil"
3.4,Glucose
8.4,Formate
,
ppm,BM_43_Pdamicornis_High
1.15,Isopropanol
1.2,Methylmalonate
1.28,Unk
1.9,Acetate
2.01,UDP-N-Acetylglucosamine
2.22,Acetone
2.73,Unk
2.89,Unk
2.91,"N,N-Dimethylglycine"
3.1,Unk
3.11,Malonate
3.2,Choline
3.22,Unk
3.26,Betaine
3.33,Unk
3.34,Methanol
3.4,Unk
3.4,"5,6-Dihydrouracil"
8.4,Formate
,
,
ppm,BM_21_Mcapitata_Ambient
1.28,"Azelate, Caprate, Caprylate, Sebacate, Suberate"
1.4,Unk
1.53,"Azelate, Caprate, Caprylate, Sebacate, Suberate"
1.9,Acetate
2.52,Unk
3.18,Unk
3.22,O-Phosphoethanolmine
3.3,Betaine
3.34,Unk
3.6,Glycine
3.65,Unk
3.99,Unk
4.02,O-Phosphoethanolmine
8.4,Formate
,
,
ppm,BM_61_Mcapitata_High
1.28,"Azelate, Caprate, Caprylate, Sebacate, Suberate"
1.4,Unk
1.53,"Azelate, Caprate, Caprylate, Sebacate, Suberate"
1.9,Acetate
2.06,Glutamate
2.71,Aspartate
2.8,Unk
2.93,Unk
3.11,Unk
3.18,Unk
3.22,O-Phosphoethanolmine
3.3,Betaine
3.34,Unk
3.4,Unk
3.6,Glycine
3.65,Unk
3.76,Glycerol
4.02,O-Phosphoethanolmine
8.4,Formate
